职位,企业名称,地区,薪资,要求
数据工程师 急,云南慧天信息技术有限公司,昆明,4-8千,五险、双休、法定节假日、奖金    岗位职责梳理项目相关的空间、业务数据现状，借助现有GIS工具或自定义开发工具完成必要的数据处理、分析；负责地图服务发布及配图；负责空间数据的入库、提取、质检等工作；                任职要求1年以上相关工作经验，地信或计算机相关专业，大专及以上学历，20~35岁（接受实习生）；熟悉Oracle、PostgreSQL、OGC标准、GIS相关软件；具备良好的团队协作精神，善于交流沟通，协调配合其他人员完成任务；具备出色的逻辑思维，对已有的GIS理论知识有自己思考或创新意识者优先；具备良好的抗压能力、解决问题能力。熟悉设计模式及具有良好的编码习惯；有较好的学习能力、团队协作精神，认真细心，有强烈的责任心，爱岗敬业，有较好的工作稳定性。任心，爱岗敬业，有较好的工作稳定性。
高级大数据工程师,宁波港信息通信有限公司,宁波,1.5-2.5万·14薪,岗位职责：（1）负责大数据系统研发工作，包括大规模非结构化数据业务模型构建、大数据存储；（2）针对海量的用户行为数据进行统计、分析与挖掘，提取商业价值；（3）建立数学模型对用户进行分析和预测。岗位要求：（1）熟悉掌握SQL语言，有数据分析项目实践经验，熟悉主流数据库技术PostgreSQL、MySQL、SQL Server；（2）熟悉大数据技术包括：Haboop、Spark、Storm等，对分布式数据处理和数据存储设计有很强的理解和优化能力；（3）熟悉Linux操作系统，熟练使用Shell或Python完成相关工作。
大数据开发工程师,武汉屈臣氏个人用品商店有限公司广州分公司,广州,2-3万,"岗位职责：1.负责大数据平台整体架构，包括计算引擎、存储引擎、数据开发平台、数据治理等方向的技术体系规划、架构设计及方案落地，为业务产品和算法开发提供高效的数据系统支撑；2.负责大数据相关技术组件的实际规划建设以及性能优化设计;3.负责实时计算引擎搭建、优化、运维，掌握实时数据采集、实时计算，支撑实时数据需求；4.参与公司数据中台建设, 对业务及业务系统进行现状调研，根据需求及行业特点设计大数据解决方案并跟进具体实施项目；5.参与企业级数据中台模型设计、模型开发及优化，构建结构合理完善可扩展的数据中台;岗位要求：1.计算机或相关专业本科毕业，5年以上数据仓库相关经验，对数据有较强的敏感性；2.熟悉Oracle等主流关系型数据库，熟练掌握存储过程、函数、触发器等编写；3.深刻理解大数据处理(流计算、分布式计算、分布式文件系统、分布式存储等相关技术和实现方法，有架构和设计实践经验;4.熟悉Hadoop生态，熟悉主流的大数据计算引擎，如hive、spark、presto、Kafka、Flink等，有二次开发经验优先5.掌握主流的数据仓库建模方法论，有数据仓库模型的建设经验；6.熟悉数据治理体系、数据标准、主数据、元数据管理等概念和方法论；有数据治理、元数据管理等经验的优先考虑;7.能快速理解业务需求，主动帮助业务发现问题，并辅助解决及优化。有良好的沟通能力和较强的责任心，能主动跟进并推进工作；8.有零售、快消相关行业经验的优先考虑;9.有技术热情，对大数据领域的发展趋势跟踪紧密，确保公司产品的技术先进性；有技术敏感性，对技术的未来变化趋势有自己的见解。"
大数据开发工程师,上海梦创双杨数据科技股份有限公司,成都,1.2-2.4万,岗位职责：1.分析业务需求，完成数据探索，评估数据源质量，评估数据对需求满足情况，识别数据风险。2.设计数据接入、数据治理、数据推送环节的ETL方案，并基于数据开发平***成实施工作。3.按业务需求设计数据治理相关模型，完成数据治理核心代码编写，独立保证数据结果质量稳定，并持续优化数据处理和数据服务的性能;4.根据数据使用方需求，完成数据质量核查、数据异常修复、数据变更开发等工作；5.根据业务需求与数据实际情况，完成口径字典、数据字典等信息的整理与维护；6.带领初中级工程师完成工作，跟进任务进度，检查数据质量；岗位要求：1.大学本科学历，计算机相关专业;2.5年以上数据治理、数据仓库项目经验，具备运营商数据仓库、数据治理类项目经验优先；3.熟练掌握数据治理体系，熟练掌握数据仓库相关理论基础，具备丰富实战经验，重点在个性化提数、复杂报表、数据服务支撑应用等场景经验丰富；4.熟练掌握主数据管理、元数据管理、数据标准管理、数据质量管理理论，并能在工作中灵活运用；5.扎实的数据模型设计开发经验，对数据敏感度高，能快速理解业务需求，构建模型输出结果，且数据质量稳定；6.熟悉Hive、HBase、Spark、Flink等大数据生态，熟练使用SQL、Python等完成数据处理，熟练编写shell脚本；7.具备一定的文档编写能力，能熟练汇总工作过程文档；8.具备较强的抗压能力、沟通能力，良好的责任意识。
Java大数据开发工程师,河北绿谷信息科技有限公司,石家庄,8千-1.5万,岗位职责：1.根据公司业务需求，构建公司的数据仓库，用合理有效的方案搭建、维护和完善农业数据库，并提供稳定且易于使用的接口；2.负责ETL的开发工作，负责业务数据的采集，清洗及转换，对高频和低频数据进行结构化处理；3.根据业务需要，提供面向业务的报表、数据提取等数据服务；4.根据业务目标，负责数据产品的技术架构设计和落地。任职要求：1. 国内外大学计算机相关专业本科及以上学历，5年以上相关工作经验；2. 主动学习的能力和意愿，善于钻研。跟踪前沿数据处理技术；3. 熟悉java/scala/python/c#语言，熟悉sql以及主流的sql和nosql数据库；4. 具有分布式集群的建设、运维经验。熟悉常用hadoop/spark生态组件(包含但不限于hdfs，spark，hive，impala，yarn，kafka，flume，sqoop等)，知晓其基本原理。具有spark业务开发的经验；5. 善于团队协作，在团队分工中能勇于承担相应职责，输出结果可靠；6.具有良好的沟通能力，富有责任心、团队精神和大局意识；7. 加分项- 有spark/mapreduce开发经验优先考虑- 有大规模集群研发或者开源项目经验者优先- 具备良好的数学/统计知识者优先- 熟悉数据挖掘和分析，机器学习等技术者优先- 有参与开源社区的经验优先
大数据开发工程师,深圳市首航新能源股份有限公司,深圳,1.5-2.5万,"工作职责:1.负责大数据平台的架构设计，核心代码开发等任务，根据项目要求编写相关技术文档2.负责大数据平台的架构评审，代码评审，上线评审3.负责核心模块的开发，大数据平台的搭建，完成项目调研与落地实现4.负责部门内部的技能传递与培训任职资格:1. 熟悉spring boot,mybatis,spring cloud Alibaba 相关组件2. 精通kafka,zookeeper等中间件，具备性能调优的能力3. 熟悉hdfs，mapreduce, yarn等hadoop组件4. 精通sql语言,opentsdb, TDengine, MangoDB, HBase, Hive，ES，5. 熟练掌握flume,sqoop，clickhouse，ELK6. 精通spark, flink等实时计算框架7. 熟悉ETL过程，熟练使用至少一种ETL工具（Kettle,Talend,Datastage,Datax)8. 熟悉大数据数仓模型，可视化分析等9. 具备良好的团队沟通能力，团队精神，具备较强的执行力和抗压性10.参与过数据仓库DWS以及数据集市(DM)类项目优先"
大数据开发工程师 (MJ001302),万兴科技集团股份有限公司,长沙,3-4.5万,岗位职责：1、负责公司数据产品的数据建模、数据抽取、监测数据的开发与优化；2、负责基于业务的需求做数据支撑的数据应用开发；3、负责通过模型优化提升数据统计效率。任职资格：1、本科或硕士；5年以上数据仓库模型设计开发或大数据开发经验，熟练sql、python等数据任务开发。2、对关系型数据库与非关系型数据库、图数据库，Mysql等能够熟练操作；3、有一定的数据系统开发经验，能够基于业务指导团队进行数仓开发与建模设计。5、有PB级数据项目或数据库管理经验者优先，熟悉云厂商数仓开发优先。
数据开发工程师,深圳市科联汇通科技有限公司,深圳,1-1.5万,1.熟悉Mysql和Oracle；2.熟悉HIVE SQL或Impala sql；3.熟悉FineBI，并具备报表开发能力；4.熟悉常用的数据分析方法，如漏斗分析，留存分析，交叉分析等；5.熟练使用Execl和Python进行数据分析;6.具有指标体系设计和开发经验优先；7.有征信数据处理经验优先。
大数据架构师,哈博能源科技（苏州）有限公司,苏州,2-2.5万,工作内容：1、参与分布式数据库引擎子系统的技术预研和功能开发；2、根据真实业务场景的数据反馈，持续优化平台的各项技术指标；任职要求：1、本科及以上学历，计算机专业背景优先；2、具有8年以上服务端分布式软件编程经验，以及高并发、海量数据处理、性能调优等经验；3、精通至少一种开源分布式数据库引擎（greenplum/hive/impala?），对分布式系统的技术原理和难点有系统化的认识；4、熟练掌握传统关系型数据库如Oracle、SQLServer、MySQL等的SQL查询及常见调优技巧；5、热爱技术，逻辑思维较强，能编写高质量代码，喜欢探寻技术原理和问题本质；6、擅于沟通和解决问题，乐于总结分享，有想法，具有较强的自驱力。
大数据分析工程师,柳州市华创汽车设计有限公司,柳州,7千-1.4万,职责描述：1.负责车联网数据统计分析，以及大数据分析平台规划设计；2.负责数据产品的建模及日常运营分析，并指导开发人员实现分析报表；3.对接业务部门大数据分析需求独立进行产品设计任职要求：1.学历：本科以上学历；?2.专业：计算机、统计相关专业；?3.资历：3年及以上数据分析及建模经验
大数据架构师,河南辉煌科技股份有限公司,郑州,9千-1.5万,技能要求：    1、计算机或相关专业本科以上学历，3年以上应用架构设计经验；    2、熟悉SQL、Java、Python等编程语言；    3、熟悉海量数据的处理，分布式计算，精通hadoop，spark，以及数据服务调度运维；    4、熟悉Mysql、Postgresql、oracle、Mongodb、Redis、Elasticsearch等主流数据库；    5、熟练掌握hive/Kafka/spark/storm/flink的工作原理以及应用；    6、有数据仓库经验者，数据分析，建模类产品规划经验优先；    7、优秀的方案撰写能力，思路清晰，逻辑思维强，能够根据业务需求设计合理的解决方案。    岗位职责：    1、负责大数据产品及解决方案的技术支持工作，负责大数据技术平台的架构及方案设计；    2、负责数据仓库、数据治理以及面向应用的数据产品相关建设，具备推进和实际落地的能力；    3、理解并能抽象行业客户的业务诉求，发挥数据驱动业务，提升数据赋能业务的价值杠杆；    4、负责规划平台系统和相关应用产品的实施、部署。
应用开发经理 - 大数据方向,中美联泰大都会人寿保险有限公司上海分公司,上海,2-3万·15薪,岗位职责:1. 参与公司大数据平台数据架构、数据模型，数据应用 等领域的实施推动和常态维护，推动公司数据应用链路的建设，提升开发效率；2. 负责与业务、测试、开发等环节有效沟通，解决技术难题，推动团队一起按时、按质完成项目；3. 针对业务数据使用进行分析调研，团队协作进行数据集成、建模、ETL和终端展现。4. 与外部团队协作，梳理业务流程，完善数仓建设；挖掘数据价值，支持和推动公司业务发展。任职要求:1. 5年以上开发经验，至少3年以上BI或数据API经验有大数据平台经验优先；2. 熟悉数据类项目管理和标准交付流程，熟悉大数据相关应用，包括但不限于：BI应用，数仓开发，数据API应用，调度及监控等；3. 熟悉金融行业数据平台建设（Onedata理论、Dama数据管理等知识）；4. 具有丰富的大数据商业实战经验，具备企业级大数据处理业务场景分析、解决方案实施，综合技术应用经验；5. 有保险行业项目实施经验者、持PMP证书优先。非常感谢您关注及投递大都会人寿的相关职位。为后续招聘流程的需要，我们将把您的简历提供给我司招聘系统合作供应商“上海大易云计算有限公司”，该公司将基于招聘流程在其大易云招聘管理系统中对您简历中的个人信息进行【收集、存储、使用、加工、传输、提供、删除】。若您同意上述个人信息处理活动，请点击按键同意并投递我司岗位。若您拒绝同意上述个人信息的处理，***。
大数据开发岗(008117),中信银行信用卡中心,深圳,2-4万,"岗位职责:1、负责日常大数据类的需求分析，评估数据需求的技术可行性，输出需求规格说明书。2、负责基于大数据平台的数据采集、数据应用的设计、开发、测试和上线。3、参与数据中台规划、制定并完善开发规范、标准和流程。4、参与业务部门的数据分析工作，为业务部门提供经营决策依据，输出分析报告。5、梳理业务应用场景，洞察业务痛点，为业务部门提供综合性解决方案。6、负责各业务板块经营专题分析及其他重点分析工作的开展及落地应用。 任职资格:1、计算机、数据等相关专业，大学本科以上，具备优秀的沟通表达能力，有自我驱动能力，团队合作意识佳。2、2年以上开发工作经验，1年以上需求分析、数据分析、产品经理或系统规划工作经验。3、大数据、互联网、通讯行业、金融行业工作经验优先。4、熟练掌握SQL或者JAVA开发技能，可独立进行开发，熟悉各种系统分析、设计文档的格式和编制要求。5、至少掌握Python,Scala,R等一种以上常用的数据开发技能，可独立撰写数据分析报告。"
大数据开发工程师（河西）,西安思维跃动信息科技有限公司,南京,1.2-1.7万,1、熟悉springboot开发框架；2、熟悉linux常用命令；3、熟悉idea、git、maven等常用开发工具；4、熟悉mysql、oracle等常用数据库；5、熟悉spark、flink等大数据处理框架，熟悉kvbernetes；6、有hudi、deltalake、iceberg相关技术经验者优先；7、4年以上开发工作经验；
大数据开发工程师（银行，周末双休）,深圳市法本信息技术股份有限公司,成都,1.5-2万,1.银行类工作经历4年以上，熟承银行业务知识，熟悉银行存贷款、征信、票据、理财等业务领域知说。2.具有维度建模模型设计经验，熟悉维度建模方法，3具有内评项目/审计项目/风险集市建设经验。4?具有大数据平台开发经验，具备大数据平台开发能力、调优能力及海量数据处理经验，熟悉阿里大数据平台为优。5具有数据仓库开发经验，了解数据仓库分层架构，熟悉ETL设计和开发，熟悉sq开发及优化，具备ETL过程性能优化和故障诊断的技能。评估标准:1.工作经历上需满足年限要求2技术上需满足技能要求中数据类相关技术能力要求3业务经验上满足精通业务领域知识要求
大数据开发工程师,广州赛意信息科技股份有限公司,深圳,1-1.5万,"1、参与大规模数据快速查询系统的架构设计和开发；2、大规模数据挖掘和机器学习算法的实现；3、在线和离线海量数据分析平台的开发；4、研究大数据前沿技术，提升系统的运维效率；5、实现大数据基础架构平台的自动化运维。任职资格1、计算机相关专业,具有3年以上大数据开发经验，熟悉Java,Linux；2、熟悉Hadoop大数据处理系统的开发,搭建及部署者优先；3、熟练地处理数据模型、数据ETL以及存储管理；4、熟悉HDFS/Hive/MapReduce/Kylin/HBase，能独自进行Mapreduce程序开发者优先；5、熟悉分布式系统概念、架构，有大规模分布式系统设计、实现、部署等经验；6、有较强的书面与口头沟通表达能力，独立分析、解决问题的能力。"
大数据工程师MJ000085,中国电子科技网络信息安全有限公司,成都,1.5-2.1万,岗位职责:负责部门CDH大数据平台的开发，能完成需求分析，对部门相关产品线进行需求和功能模块对接，协助产品线完成成熟系统/模块的功能上线。任职条件：1.计算机相关专业本科及以上学历； 2.熟悉大数据相关技术，有Hadoop、Spark、Hive等的开发经验，熟悉调度系统的运作机制，具备大数据平台的调优维护经验，有大数据开源社区开发经验者优先；3.设计数据仓库的数据的标准化和分层建设，完善数据仓库中作业调度/监控等基础设施；4.精通Linux环境，精通Java/Python/Scala开发；具备深厚的分布式系统或数据库系统的理论基础；5.对Hadoop、Spark等大规模数据存储与运算平台有实践经验，具备用户行为分析经验者优先；6.学习能力高，适应性好，有强烈责任心，能主动发现并解决技术难题者优先；7.有持续学习的能力。
数据开发工程师,昆岳互联环境技术（江苏）有限公司,盐城,1.1-1.5万,岗位职责：1、负责建设公司数据平台，包括数据采集、数据处理、数据仓库、可视化平台等。2、负责规划数据治理各模块的功能设计，推动数据治理项目的落地、推广及应用。3、负责收集和挖掘业务的数据诉求，形成数据解决方案并推动落地，挖掘数据价值。任职要求：1、本科及以上学历，计算机、数学、信息管理类相关专业，拥有3年以上数据治理、数仓开发或大数据相关岗位经验。2、熟悉大数据领域相关知识，如数据采集、数据仓库、数据治理、数据可视化、idmapping、用户画像等。3、熟练掌握Java/Golang/Python/Scala中至少一门开发语言。4、掌握数据治理的方法论，熟悉数据治理体系架构和工具，对数据模型、数据标准、数据规范等有深入研究。5、熟悉数据库设计，熟练掌握SQL语言。6、对数据敏感，具有较强的项目推动能力及执行力，良好的沟通协调能力，就有较强的责任心。7、熟悉DolphinScheduler、Apache Doris、Greenplum、Superset等数据工具者优先。8、工作地点在盐城。9、计算机或者相关专业本科以上学历，硕士三年，本科五年以上工作经验，***/***优先。
Python数据开发工程师,广东省南方传媒发行物流有限公司,广州,1-1.7万,一、工作职责：1.负责公司现有系统的维护、优化；2.负责开发大数据工具，如报表平台、多维度分析工具、ETL平台、调度平台的研发；3.负责数据可视化分析平台设计和开发；4.完成上级领导交代的其他事项。二、岗位要求：1.计算机相关专业统招本科及以上学历，3年以上大数据开发与管理经验，对数据、新技术敏感;2.具有良好的沟通协调能力，有责任心、有耐心，能根据规划需求制定相关技术与产品的解决方案，具备一定抗压能力；3.熟悉JAVA语言/Python/J2EE/SpringMVC/Mybatis/Webservice/工作流/大数据生态架构和基础原理；4.掌握大型数据库开发技术，如Oracle、Mysql等，能够独立进行库表开发、SQL调优、数据迁移、元数据管理等工作；5.具备较强的业务分析能力和数据建模能力。三、福利待遇：1、入职购买五险一金，享有带薪年假、年终奖、生日等各种贺金、定期体检等福利；2、公司组织、提供各类员工活动，如员工生日会，足球、羽毛球、瑜伽等文体活动、竞技比赛，党员、团员活动等；3、集团各类设施齐全，设有员工饭堂，和设有运动体育馆、健身房、游泳池等文娱场所，并定期组织足球、篮球、羽毛球、兵乓球、保龄球等竞技比赛。
大数据开发工程师,中国软件与技术服务股份有限公司,成都,8千-1.5万,"1.负责或参与数据集成、挖掘，应用OLAP多维分析等数据产品的架构设计和研发；2.针对现有的实际问题和痛点,调研对应解决方案的新技术；3.推进实施负责基于开源分布式计算、分布式存储平台的二次开发，例如Hadoop、Spark、hive等。任职要求：1.计算机或相关专业本科及以上学历；2.熟悉Linux/Unix平台上的Python、Java语言编程；3.熟悉常用脚本语言,善于学习新的知识，对解决具有挑战性问题充满激情；4.计算机相关专业，大数据领域研发经验，具有扎实的数据分析理论和技术基础熟悉大数据技术如Hadoop、Hive、HBase、Pig、Storm、JStorm、Spark中至少两种具有以下条件者优先；5.有大型分布式系统设计和研发经验者优先；熟悉OLAP引擎者的设计和开发者优先熟悉机器学习，有数据挖掘和深度数据分析者优先；有CDA大数据分析师证书优先；"
大数据开发工程师（居家办公-上海）,湖北天天数链技术有限公司,上海,8千-1.3万,1.精通Java/Scala中的至少一种开发语言，熟悉Shell，了解Python；2.熟练掌握Hadoop、Hive、Hbase、Spark等分布式框架原理，有相关的调优、运维、开发经验；3.熟悉至少一种常用数据库语言(Oracle/MySQL/PG等)；4.有实际的数据仓库开发和数据建模经验，有熟悉可视化、BI工具软件优先；5.对数据敏感，有数据分析、数据挖掘经验者优先；6.2年及以上大数据开发经验；工作地点：可居家办公工作时间：周末双休上下班时间：09:00-18:00
大数据工程师,埃克斯工业（广东）有限公司,重庆,1.5-2.2万,岗位职责：1. 工业大数据系统的设计、开发、文档编写；2. 大数据集群的搭建、容量评估、扩容、升级和数据迁移，保证集群环境的稳定运行；3. 大数据组件的参数调优，根据业务和数据量适时地调整组件参数；4. 编写大数据集群的监控脚本，完善监控报警机制，对突发事件产生应急响应。任职要求：1. 本科及以上学历，计算机相关专业，3年及以上大数据工作经验；2. 熟悉Hadoop生态架构和组件，理解各常用组件（Hadoop、Kafka、Hbase、Flink等）的底层原理；3. 熟悉Flink者优先考虑；4. 熟悉Linux，需要掌握shell脚本的开发；5. 熟悉Java、Scala者优先考虑6. 熟悉CDH者优先考虑；7. 具备较高的trouble shooting能力，有大规模集群维护经验的优先；8. 较好的沟通理解能力，性格乐观，态度踏实，积极上进，热爱工作，有自驱力。9.接受短期出差
程序员（数据开发）,广州数码通客户服务有限公司,广州,7千-1万·13薪,主要职责：    负责公司计费/数据仓库、业务支撑等内部营运系统的开发及维护工作。        职位要求：    1. 计算机相关专业大专或以上学历。   2. 熟练使用Oracle等关系型数据库、会使用Oracle常用函数、存储过程及自定义函数等，熟悉SQL性能优化。    3. 熟悉Linux操作系統和常用操作指令、了解hadoop，HDFS、Hive 等技术；及了解Hbase、Redis等非关系型数据库、懂java，python等編程語言。    4. 能用粤语沟通，具备基本英文读写能力。    5. 有较强的学习能力和问题分析处理能力；    6. 有良好的沟通能力及团队合作精神。*主修：数据库原理与应用、数据挖掘与数据分析、数据结构与算法、大数据应用
应届生实习岗,河北晨华信息科技有限公司,石家庄,3-5千,任职要求：1.?大专及以上学历，电脑操作熟练。无经验者，应聘上岗后有技术人员带。2.?诚实细心，责任心强，有团队意识，能承受一定工作压力。3.?有志于互联网行业，对计算机有极大兴趣和热情。4.?善于沟通，性格温和，有耐心，谦虚好学，努力上进。薪资福利：1、试用期2个月左右；2、富有竞争力的薪酬水平和其他福利津贴；3、给予完善的绩效考核，年终奖金及定期调薪；4、完善的培养体系和晋升机制。
大数据研发工程师,百视通网络电视技术发展有限责任公司,上海,20-30万/年,职位描述：1、 负责数据接入平台的产品设计、前后端开发、维护和优化；2、 负责数据湖模块的架构设计、后端开发、数据处理开发、维护和优化；3、 负责数据平台大数据的架构规划，负责Hadoop、Spark、Flink等大数据组件的选型和调优；4、 负责数据平台微服务应用框架的设计和维护，统一数据团队微服务应用框架、认证授权模块；5、 参与数据接入平台、数据湖模块管理前端界面的开发、维护和优化；职位要求：1、 本科及以上学历，至少2年以上Java应用开发经验，1年以上Spark数据处理开发经验；2、 熟悉Hadoop、Spark等大数据生态，掌握Scala语言，拥有Spark实战经验，有Deltalake相关开发经验者优先；3、 熟悉Java程序开发和性能调优，掌握Spring/MyBatis框架、Redis编程、多线程编程、gRPC协议编程；4、 了解Javascript程序开发，掌握Vue框架、ElementUI控件、Webpack配置，有管理前端开发经验者优先；5、 有Docker、K8S、DevOps、Python、Shell等相关使用和开发经验是加分项；6、 有阿里云使用和开发经验者优先；
大数据开发工程师,中智华科（大连）科技有限公司,大连,4.5-6千,工作内容：1.负责大数据分析平台分析设计与开发；2.负责数据源采集接口程序的开发与设计；3.负责数据模型的设计与开发；4.具有数据库技术与解决方案研究能力。工作时间：1.?周一至周五，9:00-18:00（早九晚六）周末双休，法定节假日正常休息；【转正后福利待遇】1.13薪+年终奖+带薪年假+五险一金+年度体检+礼品(生日、结婚、生育、端午、中秋等)2.多元化的员工培训（技能培训，拓展培训，日语培训，储备干部培训等）3.公司内容培训和晋升体系完善，每年度薪资涨幅美丽
大数据开发工程师,北京易通宏达科技股份有限公司,北京,1.5-2万,"一、工作经验：具备3年以上工作经验，大数据相关领域工作2年以上。二、技术能力：1、熟练掌握JAVA语言，有java web经验；2、熟悉Linux操作系统，熟练书写shell脚本；3、掌握sqoop,Spark，hive，Hbase，zookeeper，mapreduce，HDFS，Yarn 等大数据框架并有过实际项目经验；4、精通Hadoop生态圈技术，有丰富的MapReduce/HBASE开发经验，熟悉HBase、Storm、Spark、Impala、Hive、Sqoop等数据相关技术；5、精通Java多线程编程，熟练使用Linux操作系统和Linux命令，熟练掌握Git、SVN、Maven、Jira等开发管理工具；三、综合能力：1、能独立阅读英文文档、有自己的技术BLOG优先、经常关注开源社区优先；2、做事积极主动，能够主动学习新知识，具有高度的责任感与团队合作精神；3、具有程序设计能力。"
大数据开发工程师,上海鹏越惊虹信息技术发展有限公司,上海,1-1.5万,"职位信息1. 参与政企平台及客户定制开发项目，配合项目经理，完成大数据相关工作。2. 负责搭建、优化基于hadoop的高可用分布式hbase集群。3. 负责对接kafka与hbase，并保障其可持续高效、稳定运行。4. 负责大数据平台资源规划、权限控制、运维管理。5. 基于业务需求，负责数据模型的ETL编写，参与团队ETL流程的优化及解决ETL相关技术问题。职位要求：1. 具备一定大数据项目经验，参与过2个以上的大数据项目。2. 可独立进行大中型数据平台架构设计和平台搭建、模型设计、ETL设计，掌握离线任务及实时流处理。3. 熟悉Hadoop相关各种开源项目，掌握Hbase、Hive、Spark、Storm、Kafka、Flume等数据处理核心组件，对HDFS、M/R、Yarn的原理有深入了解，掌握系统优化、资源分配与权限控制。4. 较强的Java或Python编程能力。5. 扎实的技术功底，熟悉Redis/MySQL，熟悉Linux平台, 熟悉CDH。6. 熟悉Elastic Stack，了解Elasticsearch、Kibana、Logstash等开源项目，对Elasticsearch在大数据平台下查询优化有深入了解。7. 有PB级数据库管理经验者优先。8. 有分布式软件开发经验者优先。9. 有政企\安全\舆情经验者优先。10. 具有团队精神和独立工作能力，吃苦耐劳，能承受较大工作压力和出差。职能类别：高级软件工程师    算法工程师关键字：大数据 hadoop  开发"
办公室专员,吉林省川译商贸有限公司,长春,4-8千,工作时间：早9晚4，周六周日双休，法定节假日休息，不加班工作内容：办公室办公，操作电脑，工作简单易学，有人带，会简单电脑操作即可薪资待遇：底薪4000+提成+五险。晋升空间：技术晋升和管理晋升工作环境：独立工位，整洁明亮，办公氛围融洽任职要求：年龄20周岁--40周岁有责任心，有团队精神，积极向上，有耐心
大数据开发工程师 (MJ000535),上海如家酒店管理有限公司,上海,1.2-1.8万,岗位职责：1. 在组长带领参与系统的需求分析、以及软件相关设计等工作；2. 按照设计要求完成数据抽取、数据清洗、数据分析、API封装等任务开发；3. 在项目中完成相关项目过程文档编写、输出；4. 参与大数据平台相关工具开发及运维。任职资格：1. 本科及以上学历，统计学、数学、计算机相关专业，具有1年以上大数据相关开发经验；2. 具有积极主动的工作态度，乐观向上的价值观，强烈的团队合作意识；有较强的学习能力，能够在一定时间里掌握工作相关技巧和岗位技能；3. 精通SQL编写与优化;4. 较强的编程(JAVA/Scala/Python其中一种)以及脚本编写基础;5. 熟悉Hadoop、spark、hive、hbase、kafka、flink等主流大数据技术，精通Flink优先；6. 具有良好的逻辑分析能力、沟通能力和协调能力，积极的工作态度，勤奋上进，有责任心，愿意长期与企业共同成长，并努力实现个人价值；7. 熟悉Spring Cloud微服务架构及devops，具备Docker、K8S使用经验者优先。
大数据开发工程师,广东阿尔创通信技术股份有限公司,广州,2-2.4万,岗位描述1．分析业务部门数据需求，搭建完善的指标体系。 2．负责数仓设计规范、开发规范及质量规范的制定与落地。 3．负责数据仓库开发，ETL流程的优化及解决相关技术问题。 4．参与数据应用、建模。为业务提供决策支持。5．参与数据产品设计和评审。保障数据平台架构稳定。 任职要求：1、学信网可查 统招本科以上学历，3年以上相关工作经验。2、熟练掌握hadoop、kafka、flink、hive、spark、hdfs、主流关系型数据库等技术。3、熟悉python语言，有成熟的python语言项目开发经验。4、熟悉数据挖掘算法，熟悉至少一种或几种机器学习算法（如逻辑回归、决策树、LightGBM等），具有数据挖掘工作经验者优先。5、主要从事数据分析、建模、大数据开发方向的工作；具有数据清洗经验，熟悉常用的数据清洗方法，懂得使用hive、spark等大数据框架完成数据etl处理；参与过完整的数据采集、数据清洗、分析和建模工作，熟练使用python sklearn框架完成数据分析建模。6，能够承受工作压力，具备独立解决问题的能力和优秀的团队合作精神。
数据开发（含算法）工程师,湖北赫兆科技有限公司,武汉,7千-1.4万,工作内容：1.负责概念数据模型和逻辑数据模型的设计和维护；3.负责数据库的性能诊断分析和系统优化、问题跟踪等。3.参与各类设计文档的编写，参与产品需求分析、方案讨论及方案规划。任职要求：1.掌握基本数据库设计、安装、管理、调优、备份及数据恢复、数据库安全管理等技术；2.熟练掌握阿里云和数据中台相关组件使用，能根据项目需求完成相关离线数据计算、实时数据计算等数据开发工作；3.熟练掌握Python/SQL/Shell等相关语言；4.熟练使用informatica或其他ETL工具，有ETL开发项目工作经验。5.团队具备软件成熟度CMMI 3级或同等能力；6.团队具备质量管理相关能力，具有质量管理体系或标准。
大数据开发工程师,湖南新航动力信息科技有限公司,长沙,1.2-1.6万,1.大专或以上学历，2年以上的大数据开发经验，有数据分析和业务思考能力；2.熟悉java、python等语言，编码能力优秀；3.熟悉数仓建模，有较为丰富的数据处理能力；4.良好的沟通和理解能力；满足下列任意技术栈之一：1.熟悉Hadoop、hive、spark、presto等框架组件，熟悉华为云大数据服务优先；2.熟悉postgreSQL，greenplum，华为云GaussDB for DW类SQL语法；3.熟练使用flink，kafka进行实时数据开发。
数据开发工程师,珠海爱浦京软件股份有限公司,珠海,1.3-2万,"岗位要求：1、熟练掌握Scala或Java语言，并具有1-2年实际使用经验；2、熟练掌握SQL、Spark； 3、基于大数据的调优经验，具有1-2年或一个完整项目的使用经验；4、具有ETL相关开发经验；5、具有Tableau, Spotfire 经验优先；6、具有K8s, Docker相关经验优先；7、具备一定的英语读写能力，可以日常回复英文email。注：此岗位为外派驻场形式，工作地点在高新区，氛围好，不加班。"
大数据开发工程师,博彦科技广州有限公司,北京,1.2-2万,1、计算机相关专业，本科以上学历，3年以上项目开发经验；2、熟练掌握HTML、CSS、JS，NodeJs，熟练使用前端框架Vue，具备独立开发能力3、熟悉webpack、eslint、Elment、Echarts、tinymce、qrcode等常用第三方工具4、有web前端手机端H5开发经验优先5、对web技术钻研有强烈的兴趣，有小程序开发经验者优先
